id,title,filtered_words,label
R129,New Report on Election,"['action', 'whatever', 'air', 'commercial', 'take', 'same.', 'question', 'mind', 'able', 'rule', 'by.', 'effort', 'level', 'hope', 'trouble', 'fast.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']",REAL
R227,New Report on Climate Change,"['case', 'professional', 'nearly', 'service', 'fact', 'call', 'box', 'seek.', 'ready', 'environmental', 'join', 'memory', 'black', 'draw.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']",REAL
F231,Aliens Confirmed by Sources,"['always', 'suggest', 'across', 'fear.', 'system', 'bit', 'know', 'day.', 'treat', 'build', 'near', 'leg', 'look', 'contain.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']",FAKE
R066,New Report on Policy,"['interest', 'leg', 'next.', 'eat', 'around', 'usually', 'dog', 'condition', 'imagine.', 'available', 'side', 'protect.', 'past', 'beat', 'research', 'tell', 'direction.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
F095,Mind Control Confirmed by Sources,"['prevent', 'quite', 'modern.', 'serve', 'actually', 'way', 'until.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']",FAKE
R174,New Report on Policy,"['late', 'fear', 'history', 'prevent', 'water', 'stand.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']",REAL
R201,New Report on Public Health,"['fly', 'realize', 'former', 'show', 'life', 'anything', 'state.', 'clearly', 'detail', 'mr', 'every', 'prove', 'pressure.', 'college', 'live', 'interview', 'officer', 'war.', 'scientist', 'standard', 'toward', 'share.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']",REAL
R072,New Report on Education,"['rather', 'late', 'break.', 'election', 'stand', 'region', 'fight', 'subject', 'culture.', 'goal', 'whatever', 'military', 'middle', 'quality', 'plan.', 'town', 'huge', 'world', 'green', 'front.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']",REAL
R064,New Report on Research,"['admit', 'everyone', 'within', 'purpose.', 'third', 'read', 'play', 'risk.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']",REAL
F037,Miracle Drug Confirmed by Sources,"['together', 'painting', 'computer', 'today', 'understand', 'both.', 'share', 'ahead', 'room', 'study', 'course', 'line.', 'heavy', 'others', 'address', 'hold', 'even.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
R170,New Report on Technology Breakthrough,"['view', 'discuss', 'deal.', 'consumer', 'maintain', 'evening', 'leader', 'father', 'reason.', 'experts', 'discuss', 'ongoing', 'developments', 'technology', 'breakthrough.']",REAL
F110,Celebrity Scandal Confirmed by Sources,"['exactly', 'make', 'police', 'republican.', 'late', 'wish', 'less', 'least', 'group.', '—', 'shocking', 'claims', 'celebrity', 'scandal', 'surface', 'internet.']",FAKE
F048,Secret Cure Confirmed by Sources,"['door', 'yard', 'determine', 'meet', 'including', 'control', 'already.', 'significant', 'measure', 'anyone', 'color', 'begin', 'outside', 'resource.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']",FAKE
F082,Hoax Confirmed by Sources,"['bad', 'hospital', 'sister', 'answer', 'guess', 'there.', 'respond', 'word', 'trip', 'public', 'popular', 'indicate.', 'present', 'forget', 'member', 'perform', 'easy', 'seven.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
F187,Miracle Drug Confirmed by Sources,"['talk', 'ago', 'glass.', 'appear', 'heart', 'message', 'view.', 'space', 'enter', 'account', 'produce', 'relationship', 'gun.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
F027,Miracle Drug Confirmed by Sources,"['fund', 'another', 'dog', 'job', 'particular.', 'writer', 'film', 'likely', 'form', 'million', 'one.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']",FAKE
F202,Hoax Confirmed by Sources,"['effort', 'never', 'magazine', 'sound', 'support', 'each.', 'sell', 'someone', 'talk', 'make', 'move', 'action', 'compare.', 'bag', 'color', 'forget', 'song', 'either', 'mention.', '—', 'shocking', 'claims', 'hoax', 'surface', 'internet.']",FAKE
F197,Secret Cure Confirmed by Sources,"['natural', 'character', 'create', 'door', 'world.', 'opportunity', 'else', 'real', 'current', 'policy.', 'financial', 'sound', 'training.', '—', 'shocking', 'claims', 'secret', 'cure', 'surface', 'internet.']",FAKE
